partida_id;rodata;clube;atleta;minuto;tipo_de_gol
4607;1;Fluminense;Nirley da Silva Fonseca;59;Gol Contra
4607;1;Fluminense;Fred;45;Penalty
4607;1;Fluminense;Rafael Sóbis;31;Gol Normal
4608;1;Internacional;Charles Aránguiz;6;Gol Normal
4612;1;Cruzeiro;Nílton Ferreira Júnior;63;Gol Normal
4612;1;Cruzeiro;Marcelo Moreno;90;Gol Normal
4612;1;Bahia;Anderson Talisca;80;Penalty
4611;1;Sao Paulo;Antônio Carlos dos Santos Aguiar;13;Gol Normal
4611;1;Sao Paulo;Douglas Pereira dos Santos;22;Gol Normal
4611;1;Sao Paulo;Luís Fabiano;56;Gol Normal
4610;1;Athletico-PR;Dráusio Luis Salla Gil;16;Gol Normal
4615;1;Santos;Gabriel Barbosa;80;Gol Normal
4615;1;Sport;Neto Baiano;73;Gol Normal
4616;1;Criciuma;Paulo Baier;12;Gol Normal
4616;1;Palmeiras;Leandro;83;Gol Normal
4616;1;Palmeiras;Alan Kardec;88;Gol Normal
4618;2;Fluminense;Rafael Sóbis;45;Gol Normal
4620;2;Vitoria;Telmário de Araújo Sacramento;11;Gol Normal
4620;2;Vitoria;José Welison;36;Gol Normal
4620;2;Athletico-PR;Mosquito;78;Gol Normal
4620;2;Athletico-PR;Marcelo Cirino da Silva;83;Gol Normal
4622;2;Cruzeiro;Júlio Baptista;50;Gol Normal
4622;2;Sao Paulo;Antônio Carlos dos Santos Aguiar;90+2;Gol Normal
4619;2;Botafogo-RJ;Emerson Sheik;64;Gol Normal
4619;2;Botafogo-RJ;Pablo Zeballos;75;Gol Normal
4619;2;Internacional;Rafael Moura;9;Gol Normal
4619;2;Internacional;Rafael Moura;35;Gol Normal
4621;2;Corinthians;Guilherme dos Santos Torres;9;Gol Normal
4621;2;Corinthians;Carlos Gilberto do Nascimento Silva;80;Gol Normal
4626;2;Chapecoense;Ricardo Conceição;37;Gol Normal
4626;2;Sport;Rithely;12;Gol Normal
4626;2;Sport;Ananias Elói Castro Monteiro;38;Gol Normal
4623;2;Bahia;Lincoln Cássio de Souza Soares;8;Gol Normal
4623;2;Bahia;Fahel;74;Gol Normal
4624;2;Atletico-MG;Luiz Fernando Pereira da Silva;84;Gol Normal
4624;2;Gremio;Alan Ruiz;11;Gol Normal
4624;2;Gremio;Lucas Coelho;22;Gol Normal
4625;2;Goias;Willian José de Souza;82;Gol Normal
4628;3;Cruzeiro;Elierce Barbosa de Souza;75;Penalty
4628;3;Cruzeiro;Marcelo Moreno;83;Gol Normal
4628;3;Athletico-PR;Éderson Alves Ribeiro Silva;24;Gol Normal
4628;3;Athletico-PR;Marcelo Cirino da Silva;40;Gol Normal
4628;3;Cruzeiro;Nílton Ferreira Júnior;36;Gol Normal
4629;3;Coritiba;Luis Francisco Grando;61;Gol Normal
4629;3;Sao Paulo;Alexandre Pato;22;Gol Normal
4629;3;Sao Paulo;Ademilson;72;Gol Normal
4629;3;Coritiba;Róbson Michael Signorini;30;Gol Normal
4630;3;Fluminense;Wagner Ferreira dos Santos;88;Gol Normal
4630;3;Vitoria;Marcos Antônio da Silva Gonçalves;54;Gol Normal
4630;3;Vitoria;Marcos Antônio da Silva Gonçalves;83;Gol Normal
4631;3;Criciuma;Silvinho;14;Gol Normal
4634;3;Flamengo;Alecsandro;73;Gol Normal
4634;3;Flamengo;Paulinho;14;Gol Normal
4634;3;Palmeiras;Wesley Lopes Beltrame;11;Gol Normal
4634;3;Palmeiras;Henrique Dourado;31;Gol Normal
4634;3;Flamengo;Márcio Rodrigues Araújo;50;Gol Normal
4634;3;Flamengo;Alecsandro;60;Gol Normal
4633;3;Bahia;Maxi Biancucchi;59;Gol Normal
4632;3;Internacional;Andrés D'Alessandro;13;Gol Normal
4632;3;Internacional;Charles Aránguiz;45+1;Gol Normal
4632;3;Sport;Patric Cabral Lalau;78;Gol Normal
